144
楊林 > 鄧飛
穆弘 > 李逵
石秀 > 阮小七
朱武 > 宣贊
彭玘 > 蕭讓
鄭天壽 > 陶宗旺
宋清 > 丁得孫
蔡福 > 施恩
杜興 > 鄒淵
裴宣 > 歐鵬
白勝 > 時遷
公孫勝 > 關勝
李逵 > 史進
秦明 > 柴進
薛永 > 宋萬
鄧飛 > 凌振
魯智深 > 武松
白勝 > 李雲
蕭讓 > 朱武
宣贊 > 郝思文
馬麟 > 童威
呼延灼 > 花榮
穆春 > 曹正
蔣敬 > 呂方
歐鵬 > 蕭讓
陶宗旺 > 楊春
時遷 > 段景住
史進 > 穆弘
王英 > 鄧飛
樊瑞 > 孔明
李應 > 朱仝
凌振 > 郭盛
燕順 > 楊林
魯智深 > 張清
項充 > 李袞
李忠 > 周通
孫新 > 孫二娘
吳用 > 宋江
朱仝 > 柴進
阮小七 > 楊雄
項充 > 馬麟
張清 > 索超
丁得孫 > 穆春
朱富 > 鄒潤
童威 > 童猛
王英 > 扈三娘
石勇 > 李雲
宋清 > 樂和
段景住 > 白勝
花榮 > 秦明
曹正 > 丁得孫
童猛 > 馬麟
董平 > 魯智深
武松 > 董平
李雲 > 孫新
柴進 > 宋江
張橫 > 阮小七
孫二娘 > 白勝
雷橫 > 張橫
宋江 > 盧俊義
蕭讓 > 裴宣
周通 > 施恩
阮小五 > 張順
宣贊 > 彭玘
孔明 > 孔亮
郭盛 > 王英
索超 > 戴宗
張順 > 張橫
湯隆 > 鄒潤
孔亮 > 樊瑞
林沖 > 公孫勝
戴宗 > 劉唐
阮小七 > 解珍
彭玘 > 單廷珪
張橫 > 阮小五
宋萬 > 杜遷
楊春 > 宋清
孫立 > 朱武
單廷珪 > 魏定國
郝思文 > 韓滔
鄧飛 > 燕順
鄒潤 > 朱貴
李袞 > 金大堅
杜遷 > 薛永
索超 > 李逵
馬麟 > 孟康
李逵 > 魯智深
金大堅 > 項充
孫二娘 > 王定六
解珍 > 雷橫
李俊 > 阮小二
張清 > 楊志
宋江 > 公孫勝
楊春 > 鄭天壽
孫新 > 顧大嫂
燕青 > 解珍
蔡慶 > 李立
孟康 > 侯健
朱武 > 黃信
黃信 > 孫立
徐寧 > 張清
顧大嫂 > 張青
韓滔 > 宣贊
侯健 > 陳達
雷橫 > 李俊
阮小二 > 雷橫
朱貴 > 朱富
樂和 > 龔旺
劉唐 > 索超
魏定國 > 彭玘
鄒潤 > 蔡福
楊志 > 徐寧
凌振 > 蔣敬
呂方 > 凌振
公孫勝 > 秦明
郭盛 > 安道全
安道全 > 皇甫端
皇甫端 > 郭盛
楊雄 > 石秀
蔡福 > 蔡慶
扈三娘 > 鮑旭
解珍 > 解寶
龔旺 > 宋清
鮑旭 > 王英
丁得孫 > 宋萬
施恩 > 湯隆
解寶 > 燕青
陳達 > 孟康
樊瑞 > 項充
孟康 > 樊瑞
宋萬 > 楊春
施恩 > 李忠
湯隆 > 杜興
鄒淵 > 湯隆
李立 > 蔡福
李雲 > 焦挺
焦挺 > 石勇
張青 > 孫新
王定六 > 郁保四
郁保四 > 孫二娘
盧俊義 > 吳用
關勝 > 林沖
秦明 > 呼延灼
柴進 > 李應
