Boston, MA
Westwood, MA
Providence, RI
New London, CT
New Haven, CT
Stamford, CT
New York, NY
Newark, NJ
Iselin, NJ
Trenton, NJ
Philadelphia, PA
Wilmington, DE
Baltimore, MD
BWI Airport, MD
Washington, DC
   0   16   60  109  157  197  254  250  257  328  322  375  407  413  523
  16    0   36  103  129  179  202  221  261  277  345  327  402  453  445
  60   36    0   61  100  136  185  206  212  235  284  301  400  399  417
 109  103   61    0   33   83  110  133  154  200  227  274  340  362  353
 157  129  100   33    0   41   81  105  107  148  190  204  294  291  347
 197  179  136   83   41    0   42   56   72  105  135  165  252  261  308
 254  202  185  110   81   42    0    9   29   67   99  133  220  227  259
 250  221  206  133  105   56    9    0   17   54   88  124  200  222  248
 257  261  212  154  107   72   29   17    0   37   67  109  175  193  234
 328  277  235  200  148  105   67   54   37    0   34   73  132  154  175
 322  345  284  227  190  135   99   88   67   34    0   29  109  121  144
 375  327  301  274  204  165  133  124  109   73   29    0   73   82  121
 407  402  400  340  294  252  220  200  175  132  109   73    0   12   42
 413  453  399  362  291  261  227  222  193  154  121   82   12    0   30
 523  445  417  353  347  308  259  248  234  175  144  121   42   30    0
